sentence1,label
Best of luck walton. Our product.  samzone,0
10 hazar er symphony camera er camerar ceye valoo,0
English subtitle dile onk bhalo hoto,2
Ar jodi oi jinis tai churi hoye jai to ki korba,2
Nazmul Hasan Sarker Hoite pare Koto jaygay jai koto kisu khai Rastar khabarmanusher thela dhakkaallahr rahmat e kisu hoilo na Jai hok Indian variant e naki vaccine o tmn kaj kore na Tmr antibody shekhane kotota karjokori hobeta vabbar bishoy R eshob survey e baa kotota bisshash joggokisher upor base kore pura dhaka city er shobar kotha buijha felloogula niyew vaba dorkar,1
Sam bhai giveaway rusalt kabe ? love from india,3
Naim er wicket tai khushi hoise bhai khushi hoise aro ne ore faltu plater,2
Ei aspect ratio te video valo dekha jay na. 169 e dile valo hoy,3
Sotti jno jege jege shopno dekhlam,2
Aita ki always on display chilo,2
Vaiya ayy rkom ak ta fen bane dekan olpo tkr batas jeno vlo paoya jy plz,2
I appreciate waltons attempt to explore a different genre.,0
Aigola ki all board er jonno plz bolun ektu,2
Samzone waltonmobile xtraordinaryinnovationwithin xanonx20,2
Akta jama diso eto shundor,0
Bhai hp m22f ei monitor ti niye ekta review koren plzz,2
Hi apu masallah onak cute lage tomaka,0
Alhamdulillah ajker xm onek bhalo hoise,0
2945 privacy glass niye kichu janar ache,2
Akta gaming pc make koren monitor soho bujet 65k,2
Alhamdulillah farooqi salare bash dewar jonno,1
Vai love from cumilla asha kori ripley pabo,0
kalkeo to khailm onk mojar ki ache hene,1
Apnar vedio gula valo lage,0
Namber ta aktu den,2
Tomar hijab er kona eto shundor ki bhabe hoi,0
Phone ta onek bhalo,0
Sob thik ache brightness kom,3
Vai snapdragon ar meditek konodin akrokom hoina,1
Apu amdr gramer bario shariatpur,2
Sam vaia oppo nie ekta vedio dien,2
Mass allah viya khub sundor lagse,0
Where is our mahmudallah riyad bro in the team,2
Ami xiaomi user ata onak baje monitor,1
Onek din por onnorokom pathsala thke abaro video dakhte parlam go ahead,0
Salar sobai copy kore ei vabe vedeo banay indian food reviewers ra,1
"Subhra da jaigata onek upovog korlam , kintu tarthekeo apnar uposthapona to onek beshi upovogh kori , valo thakben ,",0
Drone toirir video chai minimum 500 miter,2
Bangla 2nd paper allhamdulillah balo holo common asce sylhet board,0
Pcbuildersbangladesh er vat mere dicche xd,1
Vai apnar wh er model koto?,2
Vai eto din ei budget er ekta pc deksilam,0
Vaiya egula baniye bikri koren amra nibo,2
Sam vai givawe result ta youtube e dien pliz,2
"Fan, fan hub, cable tie, screw er jonno eto khoroch tahole",2
50k er modde best camera phone suggest me plz,2
"Khb valo, tomak onk ta shibaji explorer r shibaji da r moto",0
Bhaire bhai pry 1. 5 yrs age theke boltesi ajke dilen videota btw thanks,0
Tobe lav ki akta power bank kine nile besi kaj debe,1
Vai sodu deikha moja pamo but kinar somortho nay,3
Wh er daam koto ?,2
Walton phone er brand value tulonamulok kom thakai long time use e kemon performance dibe ta bola aktu kothin. Aita chara phone er motamuti sob kichu thik e ache,3
Ki kano kibhabe bhi mone hocce tk opochoy kore na. Unar joto tuku proyojon sudhu toto tuku tk use kore. Deke kub bhalo laglo,0
Name tai just pochondo holo na everything else is fine,3
Apu ami tomke bia korte chai,0
Bhai ami ki amd ryzon 5 5600g pabo?,2
Apu honestly speaking apnar vlogs gulo eto bhalo hoi eto satisfying amar khub nostalgic feel hoi thank you so much for the entertainments,0
Oppo reno 8 t niye akta review banan vai,2
Vaiya tomar kono volog miss kori sob dakhi. Love you vaiya,0
Kishob balsal juta kino tmra . Dekho ashol jutar review,1
I think sobaike indian phone kina baad dite cause oder manufacture quality china thike o kharap,1
Pdf delete hoya jbe,2
Jaman vai ac baran,2
Amio rog 2 used kortesi 1years holo,2
Apu skirt ta kon page theke niso?,2
Vai xiaomi monitor purai faltu keu nien nh g24 niyechilam xioami er ajk 1mnth jabot warranty replace kore dey nh emnei nshtw ta chalacci bole stck nei ashle dibe,0
Behala te sostaay pice hotel dekhan. 1taao jodi dekhate paren bujhbo khomota acche. . Behalar lok khete pacche na,1
Apu tomake budhbar hospital dekhechi. Ami dur theke takay chilam onekkhon. Sadi vhaiya ke dekhe mone hocchilo atai tmi. Mask pora tai confused chilam. Onkkhon takay chilam. Pore tmr piche jeye bosi. Tmdr dekhe onk frndly mone hoyeche. Akta apu sathe pic tulla akta uncle sathe ato frndly kotha bolchile. Jodio ami kotha bolte parini amr kache sopno lagchilo. Ato kach theke dekheo kotha bolte parlam na. Amr comment ta porle please reply dio,3
Amar basar akjon choto helping hand ache o tomar oneeeek beshi vokto. Ok kothao niya gele khali tomak khuje,0
Ei laptop ta used koto diye neoa jabe?,2
Sir bangla 1st pepar er cq te jdi ami 13 r second pepar e jdi 50 pai ami ki pass korte parvo,2
"Ei video r madhyome oneker upokar hobe. Akta sudhu janar, onara ki howrah region a delivery den ?",3
Vai amar bike ta shei nice,0
Kaab aayega poco f5 ka review. We want to know,3
Eto dam bepar ta valo laglo na,1
Sadi vai etto mota hoilo kmne,0
Eitar boro bhai 1440p review koren,2
Lachi bangla khbar kivabe holo re,1
Ekta rechargeable light banan plz,2
Vai ami cmnt korsi plssssssssssssssssssss amke ekta giveaway koiren,2
Vaiya email to dkhailen na,1
E ki aar cutlery dice jome? haat diye kheye tripti ta beshi,3
018 eta ki sonsor chilo?,2
Iqoo neo 6 sathe ache ar alex toh acheee,3
"Greenline bus er ownership. Pabo kobay, ke ke boltay parben. Atc thake reply chai",2
Delta variant er peak time e eshe bisringkhola sristi kora ta jeno khub joruri chilo ,1
toi aigula koira tk kamac kemna ?,1
Vaiya eita diye ki gta 5 phbg smoothly khelte parbo?,2
Who clicked because of satoru gojo?,2
Sanga chal de aghwaniano drata drata,1
Vai class gular pdf dian somossah hoye,1
astrazenecar vaccine disi,0
Aunty apni amar channel subscribe korien?,2
Apu apner home er chad er vlog diben,0
Vai tumar regular video deki.,0
Chore eta bhenge vitore jabe,1
"Assalamualaikum everyone, ajker xm onk valo hoisi suggetions onujai ashchiloo sylhet board e",0
Asia cup bejoy rony talukdar,2
Onk onk onk thanks,0
osthir akta natok,0
Bhai samsung a24 and samsung f23 er moddhe konta better hobe?,2
Kisuu common pora nai,1
Vai koto bar shok dea jabe?,2
Vaccine trial supervision korlei je uni nije vaccine niye Covid theke bachte pare nai. Ei kotha ta shothik na Na bujhei bokachu lokjon comment korei jacchen,0
Apnar shob kichu te etto chulkani keno?,1
Ami 10 million asha kori,0
Apu plz next time sylhet e ashle sylhet er vlo vlo restaurant gular food review diyo panshi r pach vai bade,2
Apu pidifup pia nai,1
Thanks vaiya vul dhoriya dawar jonno,0
"Bade se bada business, ek idea se bada hota hai. Kudos onake for taking that leap of faith aar all the best for her journey. Also thanks eenar cloud kitchen taah cover korar jnyo ,aajkal kal diner promotionviews as a first priority r rat race ee to cover this cloud kitchen joint",0
Hello watch 2 a watch tar upor akta video banan,2
Sir likha golo valo moto boji na,1
Usrika Noor Dola store thik moton na korle the liquid becomes opaque. Ami vaccine dewar ase check kore nisilam bottle,2
"Ki keno kivaber owner k dekhar khub icche chilo,ajke sheta puron holo, always love akas vai",0
Best silo aita xanonx20 xtraordinaryinnovationwithin waltonmobile,0
Love vai xonoxn20 extraordiraryinovationwithing waltonmobile samzone,0
Vai gcam support kore naki. Ektu janaile valo hoto,2
Alom bro and shapon bro nice Combination apnara chaila subscribe korta paren,0
Eta pc nah. Eta poran juranor machine,0
Dada sodepore akhon prochur street food roeche akbar cover korle valo hoy,2
Gulshan 2 er kothay taltibaz,2
Walton aro bhalo korbe,0
Tv er parts panel warrenty or guarantee niye kichui bollo na! plastic or metal body frame stand tao bollo na. Viewers ra tv nibe total specs price er upor depend kore. Sudhu discount dekhe noy,1
Vhai gori tir price dekha jaini pls price ta diye din,2
Class koren naki medam dekhen,1
Eita 2 ta niye nibo,2
Desher vaccine ta niye karo matha betha nai Shobai business niye besto,1
Bby Tumio filter use kore o shundor na kore o shundor,0
Vai sobar age apni video niye asen thanks,2
Private korar kotha cilo?,1
Vaia demon slayer er last episode ta joss chilo,0
Atai proman jara khata para tara radha para na,1
8128 23 k niche vhai narsingdi index theke,3
Bd te ashle asha kori 35k ar beshi hobe na,2
Ami i5 12400 er sathe ei gpu pair korle koto watt er psu dorkar hobe?,2
"Pc theke email diye from ta fillup korechi,kintu pdf ta show kortese na,error boltese",3
Ata to agei dekhe felesi tao dekhte bhalo lage,0
Are vai pdf kon jayga pabo,2
Tushar vaire dekhlei ken jani vallage,0
Chole ashlam comment korte,0
Galouti kabab ta must try india te gele,2
Jai hok. Samsung er flip shera,0
Joss sir explanation onk balo hoise,0
Apu ajke apnader biyer video ta dheklam sotti onk sundor,0
"Vaiya, gaming er khetre ki khub besi pera neya lagbe? mane 2025k er onno jekono phone er moto performance pawa jabe na gaming eer khetre?",2
Babu tomi half pant prso kno thanda lege jabe tohar meyeder theke dhure thakba bojso eto noshtami koiro na,1
Apu Assalamualaikum apu emn street food er vedio dio tomar video gula shundor hoi onek,0
Eirokom ekta vdo i chacchilam,0
Corona virus er por Indian variant Alpha variantbita variant er jonnou  coronar moto somo morjadar lockdown cai.,1
"Apu tmr recent skincare er blog dio plz, tmr skin glow kortese mash allah",0
Sir 433 shes hoa sob kicu,2
Kolijar vai apni,0
Tomare sedin dekhlam salman. Amar pashe diya gari chalaya gela ki shundor lagtesilo,0
"Dada eta amar barir samne kub e kache. Ami jodi jantam apni aschen yo apnar sathe jatam. Dakha kortam , almost 2 year deya amr apnar sob video dakhi. Big fan love from kolkata",0
Apner sob video dekha hoy,2
1 week hoilo galaxy a54 use kortesi. Normally use korlei 78 mins por heat khawa start kore phone. Kunu game kheli nai. A54 er heating issue ta theke kivabe relief pabo?,1
Dada ad elo puro deklam,3
Assalamualaikum sir pdf ta pacchi na kno,2
S23 ultra king gaming phone faltu ar joto bolen gaming phon na lia iphone nila valo,3
As a proud hater. Ami ekta phone surely deserve kori,1
Thumbnail e hashi ta shundor,0
Onek bochor holo khaina,2
Xaxnonx20 xtraordinaryinnovationwithin waltonmobile samzone,2
Honor x50 er review dekhte chai vaiya,2
It isnt fair intel er processor 13th gen er shathe amd 5000 series er compare kora hoise 13th gen er shathe 7000 series er compare korle jinis ta fair hoto,3
Laptop ar price compare kore dekhan,2
Viaya fb reals theka bd te income kora jay na. Ay bapar a details a akta video dila valo hoy,2
Lava agni 2 te mediatek dimensity 7050 6nm processor use kora hoyeche vai. Giveaway te winner hobo kina jani nah. But apnader jnno onek shuvokamona roilo,0
"Apnara 3 tai amr kase asian porabo apnader, jibone apnader kno suggestions kno common paini",1
Vai 30k bitore best gaming phone konta pls bolen vai,2
Tawhid hridoy wil become the most legendary bater of bangladesh history,0
"Rakib bhai, k directer hisaba dekhta chai",2
Shuvo kamona roilo vai 3 million deri nai vai inshaallahlove you from dhaka,0
"Vaiya k group e dekhe eto friendly mone hoy na,kintu ei video onk hasikhsui r friendly lagtese",3
Golgappa boli na amara fuchka e boli,2
Rnar ka dakta chai next episode a,0
Vai apnara shudhu phn laptop aigula er review na niye industrial tour er video new tech er research aigula dile vlo hoy,3
Vay sear o korisi facebook a ar akanew dia dilam tag,0
3 million er orrim shubessha love from noakhali,0
Sir all intro mone ache dhonnobad,0
Vai sm model er casing a ektay 7 ta fan arektay 5 ta kn?,2
Amr prochur readwrite korte hoy. Shy khetre ki choice kora uchit?,2
Apnar sob video deki,0
Tecno camon 20 series er review dilen na keno?,2
Sir. Eta amar location. Amar barir samne elen but dur vaggo bosoto ekbar o dekhte parlam na apnake. Tobu khb vlo laglo amr parar dokan gulo cover korlem,0
Ami tohmai biya korboo,2
Ami kinbo tecno cemon 20 pro revew deo sam vai,2
"As a call of duty mobile er regular player hisabe amar ovimot gaming bolen ar day to day life using bolen, iphone unbeatable rog 7 or s23 ultra er moddhe amar personal choice thakbe s23 ultra just for namka waaste mota, vari, behuda gaming device newar kono manei hoy na. Jara bolbe s23 ultra te long time gaming somvob na, tader dujiyar baire rekhe ashen. Tara manush na, alien eto long time gaming kon normal manush kore ke shuni? last e tushar er shathe amio ek mot je compromise kore beshi dam diye so called gaming device kenar kono manei hoy na practical life e jeitar kono dorkar ee nai",1
Sir ami science group theke 4. 44 peyechi akhon amar koriniyo ki ?,2
Anker er charger niye alada ekta video chai,2
Video ta dekha ses korar agei current ta geceakhn mone hoy kinte hobei,2
22k price narzo 60 hole valo hoto,2
Gasilam ono monitor kinte pai nai pore msi ai monitor ta nai joss ata,3
Vai notun kono ups make kora dakhan,2
Ami tushar bhai er sthe akmot jokhon ekta phone er pice 1 lakh spend kortesi tokhon best of best chai sobkisu,0
Ibrahim zadran only dels with hundrens,1
Payel apu apni kabila vaiyer sathe akta natok koren plz apu apnader onek manai,0
"Chittagong er ford ekon bidesh e? aha vabtei kub valo lagche love from chittagong, bangladesh",0
hbs positive takle ki covid 19 ar tika neya jbe,2
Amar bari o soriatpur,2
Pagol na hole kew ei phine nebe na,1
"Dhaka board. I see from madaripur, rajoir,kadambari",2
Tmr video gulu onk sundor. Tmader sate ki knu tour a jaua jbe?,1
Fan gulo please teardown kore dekhan,2
Thank you. Vaiya review ta daoyar zonno,0
Its bangladesh mind it afganistan,2
"Dell vostro i3 11 gen 3 years warranty soho jodi 43k hoi, taile walton keno newa ucit, deshi brand bole shudhu?",2
Amader soto magrath gelo khotay?,2
Bole ostater mar sas rate,2
Phone gulo gcam diye ki rokom perform kore ta dekhale valo hoto,2
Vai ami regular sob video dakhi,0
Potibondi na hole karoi ei case valo lagbo na arek khothay gramer chasto vai case,1
Ahrar Ahmed vai kisu moha pondit dekhsi jokhon vaccine bangladesh e chilo tokhon dei naiekhon mritu sonkha bere cholse tokhon vaccine debar jonno pagol hoe gese Eder o obostha tai e hobe Jekeno varriant er jonno je koita ashchee vaccine ta 92% porjonto active who er policy onujai 55% holei onumodon pai sei jagai 92%kivabe bolir patha bollen uni bujhlam na Soboi na jene bolar fol,0
Mandar pola versace logo deya taw koy gucci Dokandar ak sagol ,1
16k akon 4 5 mas aghe silo 13k,0
Vai. Daraz theke jemon 1001000 takar moddhe ba tar beshi kono jinish kinle koto taka delivery charge dite hoy?,2
Kal ke exam egula porlei common in sha allah,2
"Ho togo dhaka tai best. Khulnar ta toh valo na , tora vala loiai thako",1
Somaje khub pocolito kotha taka thakle sukh hoy na jeta puropuri ekta santonamulok kotha takar binimoye sukh ase eta bastob ajke amr taka nei tai phonei sobdhoroner travelling video dekhe jai monta cay jete kintu takato nai,2
Rohan vaiya kintu fahads tutorial er official graphics designer 030,0
Vai er cheharar sathe ontor vai er mil ase,2
Vi marsiva kp3 ar bitor ki asy aktu daykian please please please,2
Emon bhab ney jeno dhakar manush jibone aam gach e dekhe nai,2
Are bara sait thaker danda marle guder gare dhuke jabe,1
Vai ami son somoy video deki,2
Ami bajaj gari cai na bhalona,1
Vaire vai 5700g diya rojar moddhe build korchi 69k diye. Tarpor theke j vabe dam koma shuru hoiche r pcbd j rokom heart attack dewa video upload kora shuru korche ki r boltam re vai. Beche achi etai allah talar kache lakh lakh sukriya,2
Httpsyoutu. Beptwb1vgvcn0 whats this video,2
Bhai apnader akta 4080 ti gift korbo mymensingh asle,2
Tumader 2joner biye holy valoy hobe,0
"Samzone, walton xanon x20 amar kase mutamuti legese. But walton er uchit update deya kom pokke 2 years android update 2 years security update. R camera te improvement er proyojon ase",3
Onek korlam comment alhamdulillah ekta kichuo pelam na,1
Bro etar keyboard e ki light ase? for night use,2
Vai mobiler 10000. 15000 vitore 32 inch android tv dekha karon 79000 tkar tv sobai effort korete parbe na aktu goribero chinta koren vai,1
Legit kurbanir eid er 2 mash er mathay dice video ta,2
Ami fan chaliye class er video record krte parini. Ekta solution bolun plz. Fan er background noise kivabe remove krbo live class e?,3
Vai sanford 3. 7v 7000mah lithium ion battery er review dan please. Ei battery gular capacity ki asolei 7000mah naki jana khub dorkar silo,2
Sir pass korci doya koiran,0
Anker er product gula onek valo,0
Ashole bhai aita discount e nh ami 2 week age techland e 5600g er price jigges korechilam onara tokhon 12200 bolsilo toh akhn kono ahamori discount nai aitay,1
Channel er name deikha iam to obak,3
Jst awsm apu nd bhaiya,0
Hea vaiya common porche,0
Purai bua spec dice company,1
Amader arekta hridoy er moto batsman lagbe,2
Realme 10 pro plus er camera akdom baje,2
Motherboard er tulunai case ta boro hoye gase,1
60k laptop review den to vi. Zeta apnar kache vlo,2
Best of luck walton. And congratulations sam bro almost 3m,0
Vai jonogon aato khet na.,1
Mymensingh board er mcq ta solve kore den plzz,2
Sylhet taki. Sir sylhet board question common aicca,0
Nubia phn review cai,2
Tecno pova 5g review plz,2
Apu abr slim hoye gese,0
Dress ta kotha thke nicen eto aram r norom,0
Email niye kisu bola holo na,2
"Next time bring hero alam,zayed khan",0
Vaiya pdf ta jodi diten,2
Sir kivabe batch e vorti hobo?,2
Lol to eto boro boro notch thaka sotteo manus iphone posondo kore kn ? ashol kotha holo jar jmn choice,3
Apu amra grm er bari o sariyatpur,2
Khuv valo ekta gajet op,0
"Dada er e thik ulto dike ektu egea duto kebabs er shop acche , ektu dhu mere esso toh",2
Bhai r gari toh oneeeek joss shei,0
YouTube kobe asbe onek boro fan ami apnar. apni shera bhai shob theke,0
Vai ami to apnar video always bakhiband like comment sob kori akbar o give way pylam na abr jodi paib,1
Faltu hoyeche akdom,1
B undit kader jonno? admission course,2
"Jaman bhai, sata ssd gulo keno reliable and durable na hdd r moto, keno?",2
"Ato sundor vlog ,apnar vlog dekhe nijer vlog improve korar chesta kori",2
Logic class koran vaia nyle ses ami,0
7 5700g diye build den aktaa,2
S8 4g smart watch review plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz plz,2
Ekhon onek current jay tai bhallo quality er kisu rechargeable light dekkan ja ghore use kora jabe 15002000 takar modddhe,2
Ami apnader fromta puron korte parchina,1
Halai ekta tele samad,1
Vai porformence nea akta vdio chai,2
Bag ta kothake nisen,2
Eta abr ki dress re baba. Nich diye abr ki jule asche. Oto mone kore ami model ami ja porbo ty e buji lok buhut sundor lagbe bolbe. Jotttto sob,1
"Last over amar heart attack hoye jeto vai, last 2 ball ami dekhini erpor eshe dekhi jite geche",3
155 target nita ei obostha ara nki world cup niba,1
Doyagonj soktir gate er oposit e ekta buri pitha bikri kore test koren pls one hype old town,2
Acer aspire 7 er review den demanding jinish er review kom apnader channel e,1
Bal comment a sobbai a paisa sudu ami bade. 4. 00 paise to ki hoise hsc ta a pabo inshallah,0
Best food vlog. Kono kotha hobe na bhai just jobordost,0
Wah keya bath hea sajib vai,0
Litton das er ekhono onek improve korar baki ase,1
Dada ader cha tao bikhyato,0
Hahaha bohat accha howa afgandoo k sath,1
Apu baje coment er Reply diye plz nijader shundor muhurto ta noshto korona. Tumader anondo dekha amrao khushi hote chai,0
Atc er proti akta asstha chilo but erao finally dekhlam murukkho. Bokar dol lg oled 48 kena jai 180 ak lakkh 80 hajar takai r sekhane vison naki vason tv kinbo 190 te mia fagolp. Lg oled vs vason oled tv side by side compare koren dekhi mia konta best for eye. Price same to same,1
"Apo tomader dekci ami cox,s bazar earport e",2
Bhai mone hoy anek tk khaisen ajke anno rokom lagce faltu video laglo,1
Dam ta khub besi dada regular manuser jonno noy ai the shef,3
Exame diye ase dekhtechi,2
Vaiya jadupc ar review dan. Please. Bangladesh a new launch hoiase,2
Love you fahim bro,0
West bengal a cholana cupcat dada,2
Moric vorta recipe daw,2
Gaming er jonno kmn,2
Shob khane bam hat na dhukaile tomar valo lage na na? Attention seeker kothakar,1
Vaiya honor x9a niye kicho bolen plz,2
Walton ar phone gula valoy improve korce. Xanon x20 on fire,0
Vaiya comilla board to dilan na,1
Kotobar try korchi pdf ta download hoy e na,1
Dada apni suryasen street arekta donkan ache dekhun nam ta holo gunjan. Okhane gie ekbar dekte paren,2
Dam anek besi er theke 6 ballygunge place sosta,3
Apu tomai onk dhonnobad amader shoriatpur ke eibabe prejent korar jonno,0
Eilik road ar price koto please please bolem vaiya,2
Vai ami kagoj dukai rakhi 200 tk nei bole,2
Ayesha Siddika Nowrin same apu gotokal tika nie rate 102 degree jor But Alhamdulillah ekhn ektu komsedont worry vaccine neyar 72 hr er modde jor utbe and soril batha korbe,2
Partho vai ar class chai,2
Bhai indirectly 5600g der gorib bolse xd,2
Apu taratare next blog dan plz,0
3 million is almost done inshallah it will be bigger in the future. Best of luck sam vai,0
"Amar toh voiceover taah besh bhaloi laglo,spiceler but make him bangali",3
Ami gojo er pic dhekei video on kor c anime lover,2
Mobo er karone jinish ta khubi weird laghteche,1
25k hole niye nitam,2
Era je daam e ek bati plain riceonly debe sei daam e apni pet vore jadavpur e char torkari sabji vaat humesha pawa jabe,3
Infinix sob phne a sound kome jai,1
Ratul vai ajk o ascilo sa maja maja asa,0
"Vaiya tomake dekhe youtube kaj soro korsi, somoy hole akta reply dio plz love u boss,",0
True to your viewers etai apnar usp. Subscriber diye bichar korle hbe na. Apnar video amar khub i bhalo lage,0
Vai ami aponar onk agar subscribar,2
Techno prova 5 ki kom kapabe,0
Vaiya free fire er jonno ata thik hobe ki?,2
Amadar bari tau a6a,2
Accha apu ei milk shake ki sob somoy pawa jabe,2
How to write bangla in thamanel,2
Vai. Jokhon review diber tokhon obossoi dam ta bole diben. R kothai paoa jabe tao bole dien,2
"Sylhet board a education passage ta asche, dhonnobad vaiya apnader ke",0
Walton bes valo kaj korce,0
Vai under 6k er moddhe monitor gula dekhan,2
"Rx 580 er sathe i5 ryzen 5 diye banchmark kora uchit, tahole ekta valo dharona pawa jeto j eta newa thik hbe kina i9 diye ei gpu k chalabe",2
Apu ajk tomk onk cute lagse mashallah,0
Vaiya cse er jonno mac nite chacchilam. But onek university er official web e boltese j mac e onek program support kore na! please ektu advise den,1
Vai betary ki aro besi deya jabe?,2
Pocof5 ar review chai,2
Apu koto din por video upload korla tomake onek miss korsi,3
Anker ar product ar man mota moti valoi bola jai,0
Chest 44 size hoba nake amar lgbe,2
16000 takay amr family chole 1 month,3
Owalikum asslam vai kemon acen,0
Baiya apner moto auto caption ki vaba add korbo bangla and english apner video moto,2
Tumi soto vai amr bal ar gamer. Poco x2 diya tomar moto koro gamer kaia dilam cipay falay,1
Apu cameraman ke kivabe khawar sujog kore dan? khawar sujog pay?,2
Samzon anonx20 waltonmobile xtraordianarylnnovationwithin,2
walton mehedi hasan love from narayanganj,0
From ta koy kuje paoya jascena,2
Taskin cricket kelr dorkr nay ato bad kelce,1
Jodda akbor ar link ta diben plz apu,0
Nowsheen er sathe rakib vai er already ekta interview ache!,0
Kau pdf ta diban,2
Ai natok ta onno akta chanel a dekheci bhalo lagce,0
Vaiya r5 pro 4650g niya akta video banan plz,2
"R5 7600x neye akta build banan , within 70k without gpu",2
Sam bhai giveaway rusalt kabe ? love from india,3
Ai bc faul. Tk kheye baje company airbringer er dalali korese. Pore order diye wrost experience. Fokinnir bacca to kheye asb kom korbi,1
Dada md computer akbar visit koren,0
Mash allah darun sadman vaiya piliz yahia amin sir ke anun piliz,0
"Vai onk a baje baje cmnt krticen, ekdm thik krticen",1
Vab ta amon nitasa. Kotha kar boro akjon celebrity. English re inglis baniya falayse. Bhai re bhai,1
Appu mirpur 1 e ekta restaurant ache segreto nam plz oikhane giye ekta review dao plz plz plz apppuuuuu kokhono ami comment kore kichu request kori ni tmk ai prothom kotlam plz request ta raikho plz plz apuuu,2
"Sir, apni mic konta use korechen plx reply",2
"Tecno camon 20, redmi note 12 and inifinix note 30. Konta kinbo? khub confusing e achi. Plz keu help koiren",3
Walton ami use korsi onek valo symphony and tecno thakao valo,0
Apnka amr onk valo laga vai,0
Manus re r koto bokacoda banaba api,1
Alhamdulilla onk valo bugi vaiya tomr class,0
Realme 9 se kmn gaming er jonno,2
Flip phone er ki dorkar?,2
"Allhamdullah, product bgulu onek valo",0
Tecno jodi tadar ui ta aro better korta parto like google ar stook ui ar moto koira jodi ui lunch korta parto tahola public ar kasa aro popular hoito,3
3 millions is almost done inshallah it will be bigger in the future. My prayers are with you sam brother love from dhaka,0
Vai amara ki aita pabo,2
Tie er rong ta onk shundor,0
Apni starplus e kon serial dekhen? anupama?,2
Namaz to mona hoie ak owakto poros na,1
"Infinix note 12 2023 er review diyen , please",2
Sinister plays ke te chai,2
Mi 12 er review cai,2
Huawei gr5 mini. 2017 theke chalacchi kono problem chara,0
Faiza apu amer geramer bari o soriyot pur,2
Vaiya cuupcut e to banglay lekha jayna banglay kibabe lekhbo bollennato,2
Ami huweai phone used kori,2
Onnnnnnk din pore eid mubarak,0
Apnar ex ache sheta publicly bolar ki dorkar faltu manush,1
Towhid hridoy er baper ta agei bolsilen,2
Allah ke voy korun,0
Protidin to class korlam rajshahi board a kono kisooooooo kamon tooooooo apiiiiii lam naaaasaaa,1
New camera dekty chay fahim vai,2
Khub inspired holam apu!,0
What a game by tawhid hridoy,0
35k r moddhy ki pn nete pari camera vlo hote hbe sbi aktu suggest korun plz,2
Phone ta kintu joss!,0
Manusher khavar kheye bodnam kora ki tik aponare review ke dite bolce aro lokerr khabareer opoman,1
Vai kothay kothay 5600g builder der roast kore dicche,2
Apnader kache ki ps5 ache?,2
Love from khulna,0
Sob tw mathar upor dia gelo,1
Allah apu apnar gram r amr gramer bare mile gelo,2
"Video te besh cut deowa hoyeche 510 sec er kotha teo,i hope shamne emon hobena",1
Vi onk giveway te add holam but kontai aj porjonto jitte parlam na. Anyway love from jessore,0
Apner video gulo amer kase khub valo lage,0
Bhaia apnader ami onek respect kori but apnara highlighted jinish chara ki ar kichu dekhen na? samsung eto koto din bypass charging ache aita ki apnader chokhw pore na?,2
You are so cute apu. Uncle nd aunty kemon achen?,3
Apu next time gazipur farishta tey aso,2
Vaiya xanon x20 theke infinix note 30 valo hobe amar mone hoy,2
Best revewer samzone vaiya asslamulikum xtraordiarylnnovationwithin waltonmobile,0
Boro vaii. Apnar cat tar name ki? r cat ta indian taka hisabe koto nebe?,3
Crush chila unfollow korlam bebohar er jonno biday,1
Etar main price tai holo 190000 taka just marketing kortesa aei vhabe discount diea. Jane je keo kinbe na tai,2
Tnx vaiya onek valo hoyce dowa korben amader sbr jonno,0
Vai. Aponar namber ta dan apanake invite kortam dwat e ashle bhalo lagbe,0
"Jonmer por theke deklam ta kiak blog moddhe apni je jayga ghula ghulen shate ami o halka kore ghure ashlam atai shantona blog ghula ageh regular dekha hotho,aj onek din por deklam and video ta o onek agher. Take love from sylhet r ashle amay shate niben. Ghure ashbo amr shohor apni outsider hoye amke guide kore guriye dekanur rqst taklo",0
onek valo hoto jodi phone ta patam,3
Vai ami phone ta neta gea khubi hotas 8128ta on korar por camera khubi kharap ar display tai light kom ami phone ta dokan dar k ferot dea dechi,1
Dhaka board jonno suggestions gula bade na please dhaka board kotha veve suggestions dian,3
Kalkei kinlam ajke review,2
Achha bhai apanara ki ursa mini pro 12k camera ta ki use koren naki ekhono panasonic e poira asen video to cinematic lage na sharpness khali beshi hoise video quality ta mkbhd type er kora jay na cinema camera to ache chailei to parben,3
3025 e tusher bhai koise ghumas kamne tora shunte onek odd,1
Pc power ice cube nah eta,2
Always ai smiling face ta kub vlo lage,0
Daraz theke famous gadget er website a dam besi,1
Bhai esonic vs value top video lagbe,2
Vaiya 2023 er 3000040000 er moddhe best kisu phn er review cai,2
9095k er modhe ekta laptop suggestion den vaia,2
Oppkha rilam porer tar jnno,0
Youtube theke ajker sajeson ki kore pabo amr fb id nai vai,2
Indian puchka bangladesh fuska,2
"Dada ami shikhabhavan a job kori, ginni te prochur khai, darun khabar",0
Tushar vai polo shirt ta lagbe,3
Vaia oneplus ace 2 nia ak ta video make koran plz,2
Mone hoina ato boro mutton er pic deba customers der?,1
Ei ep ta best chilo. Rs fahim chowdhuryr jonno,0
